,City,Cloudiness,Country,Latitude,Longitude,Humidity,Max Temp,Wind Speed
399,burmakino,0.0,RU,57.4166,40.2369,42.0,18.76,4.0
400,lufilufi,21.0,WS,-13.8745,-171.5986,79.0,22.88,9.69
401,sao joao da barra,7.0,BR,-21.6403,-41.0511,88.0,16.45,2.38
402,kamakwie,100.0,SL,9.5,-12.2333,96.0,23.36,1.65
403,harlow,0.0,GB,51.7766,0.1116,73.0,24.12,1.54
404,lima,90.0,PE,-12.0432,-77.0282,87.0,16.61,4.12
405,belaya gora,5.0,RU,68.5333,146.4167,41.0,19.0,3.06
406,saint-georges,20.0,GF,12.0564,-61.7485,83.0,26.82,5.14
407,williston,0.0,US,48.147,-103.618,88.0,22.95,1.04
408,teluk intan,100.0,MY,4.0259,101.0213,50.0,33.3,3.06
409,acucena,0.0,BR,-19.0731,-42.5464,94.0,12.89,0.52
410,newnan,18.0,US,33.3807,-84.7997,93.0,23.49,1.41
411,vilhena,0.0,BR,-12.7406,-60.1458,55.0,17.09,1.6
412,chunoyar,72.0,RU,57.4467,97.3217,34.0,25.08,3.59
413,lhokseumawe,83.0,ID,5.1801,97.1507,67.0,30.35,3.73
